27087130,假若比尔街能说话 If Beale Street Could Talk
27191173,恋如雨止 恋は雨上がりのように
27201353,大师兄 大師兄
20425292,私人战争 A Private War
27055378,白小姐 미쓰백
26878883,野梨树 Ahlat Ağacı
27109553,无间炼狱 Destroyer
26966758,逃出水泥地 Dragged Across Concrete
26992553,皇家酒店谋杀案 Bad Times at the El Royale
27039069,宝贝儿
27607255,自由了！ En liberté!
27042544,邻座的怪同学 となりの怪物くん
27002812,难道不浪漫 Isn't It Romantic
26969115,霸主 Overlord
30176282,词典 말모이
26600786,希斯特斯兄弟 The Sisters Brothers
30242164,海吉拉
27040853,协商 협상
26944582,雪怪大冒险 Smallfoot
27019982,印度暴徒 Thugs of Hindostan
24299053,老人和枪 The Old Man and the Gun
27045615,未来的未来 未来のミライ
30181130,阿拉姜色
30334399,三夫
27180356,完美的他人 완벽한타인
6538807,冰海陷落 Hunter Killer
10759740,滴答屋 The House with a Clock in its Walls
30194752,边境 Gräns
11639146,玛丽女王 Mary Queen of Scots
30412189,罗布奥特曼剧场版：决定了！羁绊的水晶 劇場版 ウルトラマンR/B セレクト！絆のクリスタル
3059389,漂亮男孩 Beautiful Boy
30158971,企鹅公路 ペンギン・ハイウェイ
30299345,康斯坦丁：恶魔之城 电影版 Constantine City of Demons: The Movie
26430636,狂暴巨兽 Rampage
30290776,你不是一个人
30162520,盛夏 Лето
27604296,家和万事惊 家和萬事驚
26219713,克隆人 Replicas
3148663,福尔摩斯与华生 Holmes and Watson
4017146,月光光心慌慌 Halloween
30156898,肆式青春 詩季織々
27050259,妈妈咪呀2 Mamma Mia! Here We Go Again
26356631,伸冤人2 The Equalizer 2
30154537,高潮 Climax
26268602,寡妇联盟 Widows
27027799,王者少年 The Kid Who Would Be King
30183666,老爸102岁 102 Not Out
3179698,伦敦战场 London Fields
26627736,边境杀手2：边境战士 Sicario: Day of the Soldado
26774033,幕后玩家
30293828,中国合伙人2
27082461,三次元女友 3D彼女 リアルガール
27087787,绝地隧战 PMC: 더벙커
26992383,龙虾刑警
27139732,你给的仇恨 The Hate U Give
26887153,冥王星时刻
30218116,哈纳莱伊湾 ハナレイ・ベイ
26992114,孤狼之血 孤狼の血
26945122,麻药王 마약왕
30206431,过昭关
27184199,挪威7·22爆炸枪击案 22 July
27187912,逃组 뺑반
27615564,的士速递5 Taxi 5
30168032,战斗民族养成记
30148183,独孤：倒回 독고 리와인드
30143861,我的冤家是条狗 Patrick
30322398,无痛侠 Mard Ko Dard Nahin Hota
26937563,惊涛飓浪 Adrift
27621494,人面鱼：红衣小女孩外传 人面魚：紅衣小女孩外傳
27021609,超大号美人 I Feel Pretty
30156266,我是江小白 剧场版
27017673,犬舍惊魂 Dogman
30423524,乌里：外科手术式打击 Uri: The Surgical Strike
26762269,90年代中期 Mid90s
26348846,罗宾汉：起源 Robin Hood
27135946,天鹅绒圆锯 Velvet Buzzsaw
26958485,逆流大叔
30181789,愤怒的黄牛 성난황소
27149755,大浴场 Le Grand Bain
30387441,天方异谈
30197496,野性 Sauvage
26786317,银湖之底 Under the Silver Lake
25900947,游侠索罗：星球大战外传 Solo: A Star Wars Story
26936272,犬屋敷 真人版 いぬやしき
26607969,未择之路
27156537,最好的朋友 Mi mejor amigo
27012900,俄国新娘 The Russian Bride
27113810,暗数杀人 암수살인
26437223,22英里 Mile 22
4844731,境·界 BLEACH
27098363,自杀小队：严厉惩罚 Suicide Squad: Hell to Pay
27091624,邻里的人们 동네사람들
27063403,悠哉日常大王剧场版：假期活动 劇場版 のんのんびより ばけーしょん
30406190,哥哥 Un frère
26908287,一生 Life Itself
27168151,上流社会 상류사회
30195228,男人要自爱 Je ne suis pas un homme facile
30286112,乔纳斯 Jonas
27601070,集中营里的摄影师 El fotógrafo de Mauthausen
26779571,小家伙 Айка
26852903,光之声 Vox Lux
3212397,根西岛文学与土豆皮馅饼俱乐部 The Guernsey Literary and Potato Peel Pie Society
26975011,猖獗 창궐
30188247,地牢回忆 La noche de 12 años
27045854,屠宰场准则 Slaughterhouse Rulez
10546771,重塑人生 Second Act
27029495,法外之王 Outlaw King
27621184,君主！先发制人 センセイ君主
27102557,战中女人 Kona fer í stríð
27050878,永恒之门 At Eternity's Gate
30192287,把哥哥退货可以吗？ น้อง.พี่.ที่รัก
30283526,塔巴德 Tumbbad
30282596,小小巨人 Giant Little Ones
25864719,嗜人之夜 The Night Comes for Us
27038235,薄荷 Peppermint
27098365,超人王朝 Reign of the Supermen
27165968,少年泰坦出击电影版 Teen Titans Go! To the Movies
27019570,时间怪客 Time Freak
27098364,超人之死 The Death of Superman
27191829,初吻50次 50回目のファーストキス
26989735,空中轮胎 空飛ぶタイヤ
27155457,目击者 목격자
27069377,淡蓝琥珀
26830774,影像之书 Le livre d'image
30209020,粽邪
26683287,刺心 Un couteau dans le cœur
26825688,姐姐 언니
26601224,人尽皆知 Todos lo saben
26658194,蜘蛛网中的女孩 The Girl in the Spider's Web
30295908,小猪佩奇过大年
27025631,咏鹅 군산: 거위를 노래하다
26942853,镜中人 Look Away
30189817,江边旅馆 강변호텔
27160683,忍者蝙蝠侠 Batman Ninja
26905717,人类清除计划4 The First Purge
26979347,一代巨星桑杰君 Sanju
26908051,使徒 Apostle
27013111,抓人游戏 Tag
26969244,亲吻亭 The Kissing Booth
26935281,郊区的鸟
27203619,差等生乔曦
27127793,一周不死，全额退款 Dead in a Week: Or Your Money Back
26730542,有五个姐姐的我就注定要单身了啊！！ 有五個姊姊的我就註定要單身了啊！！
25850442,森林之子毛克利 Mowgli
30355903,卖身 Doing Money
25727544,寻找罗麦
26998315,真心话大冒险 Truth or Dare
30283308,阿浪的远方
26691361,21克拉
27195080,泄密者 洩密者們
26934399,毒战 독전
3274508,谁杀死了堂吉诃德 El hombre que mató a Don Quijote
27097816,罪途1之死亡列车
27197468,地面之洞 The Hole in the Ground
26722224,匿名者 Anon
26924141,低压槽：欲望之城 低壓槽
27121032,她的故事 허스토리
30411657,阿加莎与谋杀的真谛 Agatha and the Truth of Murder
30466832,独家记忆番外之相信爱
26389835,海鸥 The Seagull
27037052,烧肉龙 焼肉ドラゴン
27002092,黑衣女人 Ladies in Black
26999591,牵牛花与加濑同学 あさがおと加瀬さん。
26931155,给19岁的我自己
30174107,三张面孔 سه چهره
26661189,脱单告急
27145025,精灵宝可梦：大家的故事 劇場版 ポケットモンスター みんなの物語
27202825,最后一球 Тренер
27107625,代号基亚斯：反叛的鲁路修3之皇道 コードギアス 反逆のルルーシュⅢ 皇道
27611038,猫是要抱着的 猫は抱くもの
30228425,禁入直播 Cam
27126350,哥斯拉：噬星者 GODZILLA 星を喰う者
26411377,你的婚礼 너의 결혼식
30267308,第三种魅力 제3의 매력
30181455,金秘书为何那样 김비서가 왜 그럴까
26776469,我的！体育老师
1292271,毕业生 The Graduate
6973376,致我们终将逝去的青春
11502153,黑镜 第二季 Black Mirror Season 2
3771562,普罗米修斯 Prometheus
3319755,怦然心动 Flipped
1297052,侧耳倾听 耳をすませば
1304056,茜茜公主 Sissi
4202302,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ
27166442,夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～
27060077,绿皮书 Green Book
3562674,60岁的情书 60歳のラブレター
27133303,超时空同居
2353023,驯龙高手 How to Train Your Dragon
1291546,霸王别姬
25861610,熊出没之年货
26999861,明星大侦探 第三季
26979097,0
26428635,咱们穿越吧 第一季
26609488,女婿上门了
30241701,颤抖吧阿部之朵星风云
2249496,公主小妹
27615866,人不彪悍枉少年
30352908,生活对我下手了
2244426,雷霆沙赞！ Shazam!
2998270,大侦探福尔摩斯 Sherlock Holmes
26213252,惊奇队长 Captain Marvel
19899707,驯龙高手3 How To Train Your Dragon: The Hidden World
1950330,罗马 Roma
26813221,了不起的麦瑟尔夫人 第一季 The Marvelous Mrs. Maisel Season 1
1889243,星际穿越 Interstellar
26640371,犬之岛 Isle of Dogs
26425062,武林怪兽
24773958,复仇者联盟3：无限战争 Avengers: Infinity War
2210031,仙剑奇侠传
3606971,飓风营救2 Taken 2
1296717,夺宝奇兵 Raiders of the Lost Ark
1947549,生死狙击 Shooter
25790761,东方快车谋杀案 Murder on the Orient Express
6390823,美国队长2 Captain America: The Winter Soldier
26796664,叶问外传：张天志 葉問外傳：張天志
